label,full_name,dateA,priceA,dateB,priceB,height,weight,body_mass_index,foot,age,position,Successful Long Passes,Ground Duels lost,Aerial Duels won,Interceptions,Foul Attempted Tackle,Total Passes,Successful Passes Opposition Half,Duels won,Shots On Target,Total Losses Of Possession,Clean Sheets,Rightside Passes,Unsuccessful Short Passes,Successful Short Passes,Successful Crosses & Corners,Blocks,Throw Ins to Own Player,Ground Duels won,Ground Duels,Goals Conceded Inside Box,Time Played,Duels lost,Unsuccessful Crosses open play,Successful Crosses open play,Appearances,Goals Conceded,Handballs conceded,Total Tackles,Goals from Inside Box,PutThrough/Blocked Distribution,Tackles Won,Successful Dribbles,Duels,Total Fouls Conceded,Successful Open Play Passes,PutThrough/Blocked Distribution Won,Recoveries,Unsuccessful Dribbles,Unsuccessful Passes Opposition Half,Total Clearances,Forward Passes,Index,Headed Goals,Starts,Total Fouls Won,Backward Passes,Unsuccessful Long Passes,Substitute Off,Total Touches In Opposition Box,Touches,Key Passes,Tackles Lost,Successful Passes Own Half,Unsuccessful Launches,Aerial Duels,Unsuccessful Passes Own Half,Open Play Passes,Goals,Aerial Duels lost,Times Tackled,Unsuccessful Crosses & Corners,Throw Ins to Opposition Player,Corners Won,Total Unsuccessful Passes,Successful Launches,Successful Lay-offs,Total Shots,Total Successful Passes,Shots Off Target,Games Played,Home Goals,Away Goals,Winning Goal,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Blocked Shots,Goals Conceded Outside Box,Fifty Fifty,Right Foot Goals,Goals from Outside Box,Goal Assists,Unsuccessful lay-offs,Successful Fifty Fifty,Leftside Passes,Assists,Offsides,Unsuccessful Corners into Box,Through balls,Corners Taken,Penalties Taken,Left Foot Goals,Penalty Goals Conceded,Penalty Goals,Attempts from Set Pieces,Set Pieces Goals,Successful Corners into Box,Penalties Conceded,Foul Won Penalty,Hit Woodwork,Second Goal Assists,GK Successful Distribution,Goal Kicks,Clearances Off the Line,Penalties Off Target,Own Goal Scored,GK Unsuccessful Distribution,Last Man Tackle,Other Goals
1,Vedat Muriqi,0,10000000,0,0,1.94,92,24.445,1,29,3,12.0,110.0,186.0,10.0,18.0,744,299.0,240,27.0,455.0,3.0,149.0,301.0,415,,7.0,,54.0,164.0,28,2706,257.0,10.0,,32,32.0,6.0,11.0,12.0,39.0,7.0,9.0,497,55.0,420,12.0,80,13.0,278.0,66.0,241.0,49,4.0,31.0,35.0,148,16.0,15.0,111.0,1173,18.0,4.0,128,3.0,333.0,49.0,737.0,13.0,147.0,54.0,10.0,,10.0,317.0,,27.0,59.0,427,32.0,32,4.0,9.0,3,6.0,1.0,1.0,,1.0,11.0,4.0,66.0,,1.0,3.0,7.0,25.0,206.0,3.0,27.0,,3.0,,5.0,9.0,5.0,4.0,,,,,1.0,,,,,,,,,,
2,Garry Rodrigues,0,2500000,0,0,1.73,71,23.723,2,33,3,2.0,15.0,,,5.0,140,86.0,11,6.0,74.0,,10.0,30.0,107,1.0,,4.0,11.0,26.0,5,477,17.0,23.0,1.0,18,5.0,1.0,2.0,2.0,9.0,2.0,3.0,28,9.0,108,4.0,15,2.0,54.0,,14.0,10,,4.0,6.0,50,1.0,4.0,41.0,218,8.0,,24,,2.0,1.0,139.0,2.0,2.0,6.0,24.0,,8.0,31.0,1.0,1.0,9.0,109,3.0,18,1.0,1.0,0,,,,,14.0,5.0,,,1.0,,1.0,,,66.0,1.0,5.0,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,
1,Tomas Pekhart,0,400000,0,0,1.94,91,24.179,2,34,3,,36.0,21.0,4.0,6.0,93,35.0,38,6.0,56.0,2.0,22.0,26.0,67,,1.0,,17.0,53.0,6,774,58.0,,,13,8.0,,6.0,5.0,2.0,4.0,1.0,96,17.0,61,2.0,11,3.0,19.0,7.0,18.0,10,3.0,9.0,10.0,35,,7.0,36.0,183,1.0,2.0,32,,43.0,7.0,87.0,5.0,22.0,10.0,,,3.0,26.0,,9.0,14.0,67,8.0,13,4.0,1.0,2,2.0,,,,4.0,3.0,2.0,10.0,1.0,,,2.0,5.0,18.0,,6.0,,,,,1.0,,,,,,,2.0,2.0,,,,,,,,,
2,Michal Pazdan,0,200000,0,0,1.8,78,24.074,3,36,1,30.0,28.0,25.0,20.0,8.0,488,131.0,52,3.0,121.0,1.0,153.0,63.0,357,,6.0,28.0,27.0,55.0,9,999,52.0,2.0,,14,12.0,,21.0,1.0,14.0,13.0,2.0,104,20.0,372,7.0,46,1.0,62.0,44.0,219.0,10,,12.0,4.0,35,38.0,4.0,6.0,653,2.0,8.0,256,15.0,49.0,41.0,473.0,1.0,24.0,1.0,2.0,13.0,,101.0,1.0,,3.0,387,,14,1.0,0.0,0,4.0,1.0,,1.0,2.0,,3.0,19.0,,,,,15.0,81.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
2,Jimmy Durmaz,0,375000,0,0,1.8,69,21.296,1,34,2,14.0,9.0,4.0,1.0,2.0,204,98.0,12,,54.0,,57.0,25.0,153,3.0,,2.0,8.0,17.0,4,167,11.0,6.0,,8,4.0,,7.0,,4.0,6.0,,23,2.0,162,3.0,17,3.0,40.0,3.0,68.0,10,,2.0,1.0,26,12.0,2.0,1.0,246,4.0,1.0,72,2.0,6.0,8.0,199.0,,2.0,3.0,11.0,,,37.0,,2.0,2.0,167,2.0,8,,,0,,,,,6.0,1.0,,,,,,,,53.0,,,4.0,,7.0,,,,,1.0,,3.0,,,,,,,,,,,,
1,Kaan Kanak,0,150000,0,0,1.8,74,22.84,1,33,1,34.0,34.0,10.0,12.0,2.0,603,239.0,47,5.0,234.0,1.0,250.0,71.0,441,21.0,,86.0,37.0,71.0,14,1080,45.0,26.0,11.0,12,16.0,,15.0,,34.0,11.0,16.0,92,7.0,448,13.0,81,9.0,130.0,9.0,229.0,10,,12.0,6.0,88,57.0,,9.0,922,19.0,4.0,257,14.0,21.0,44.0,570.0,1.0,11.0,16.0,46.0,21.0,10.0,128.0,3.0,1.0,8.0,475,3.0,12,1.0,0.0,1,,,,,,3.0,2.0,,,1.0,1.0,,,36.0,1.0,1.0,12.0,,24.0,,1.0,1.0,,5.0,1.0,7.0,,,,,,,,,,,,
2,Moryke Fofana,0,450000,0,0,1.8,76,23.457,3,32,3,11.0,126.0,,2.0,9.0,385,235.0,99,13.0,261.0,1.0,151.0,88.0,284,5.0,,13.0,99.0,225.0,15,1360,131.0,15.0,5.0,24,19.0,3.0,10.0,6.0,29.0,6.0,66.0,230,17.0,281,8.0,57,63.0,100.0,2.0,86.0,10,,15.0,23.0,95,2.0,11.0,95.0,747,20.0,4.0,65,,5.0,5.0,371.0,6.0,5.0,102.0,15.0,3.0,13.0,90.0,1.0,14.0,22.0,295,9.0,24,4.0,2.0,2,1.0,,,,9.0,2.0,4.0,,5.0,,4.0,1.0,,53.0,3.0,9.0,,6.0,6.0,,1.0,4.0,,,,,1.0,,1.0,,,,,,,,,
2,Gervais Lombe Yao Kouassi,0,500000,0,0,1.79,66,20.599,2,36,3,4.0,17.0,,,1.0,142,92.0,4,3.0,52.0,,32.0,23.0,115,,,,4.0,21.0,2,411,18.0,,,11,3.0,,1.0,1.0,7.0,1.0,1.0,22,2.0,113,1.0,5,8.0,22.0,1.0,38.0,10,,5.0,2.0,43,,5.0,22.0,187,3.0,,27,,1.0,4.0,136.0,1.0,1.0,15.0,3.0,,2.0,23.0,,,6.0,119,3.0,11,1.0,0.0,0,,,,,6.0,3.0,1.0,,1.0,,,,,29.0,,5.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
2,Levan Shengelia,0,800000,0,0,1.84,79,23.334,1,28,3,49.0,89.0,5.0,12.0,16.0,569,290.0,64,9.0,264.0,3.0,52.0,78.0,418,13.0,4.0,4.0,59.0,148.0,18,1822,96.0,27.0,5.0,31,23.0,3.0,23.0,2.0,24.0,18.0,22.0,160,23.0,452,7.0,86,21.0,126.0,5.0,101.0,10,,22.0,14.0,178,24.0,18.0,49.0,884,24.0,5.0,190,2.0,12.0,19.0,548.0,3.0,7.0,62.0,43.0,1.0,9.0,102.0,2.0,4.0,24.0,467,15.0,31,2.0,1.0,0,5.0,,,,9.0,6.0,5.0,,1.0,1.0,3.0,,,238.0,3.0,6.0,10.0,,23.0,,2.0,2.0,,5.0,,5.0,,,1.0,,,,,,,,1.0,
2,Adnan Januzaj,0,9000000,0,0,1.86,76,21.968,1,28,2,10.0,35.0,3.0,2.0,2.0,173,92.0,41,3.0,93.0,1.0,27.0,38.0,116,7.0,,1.0,38.0,73.0,7,498,38.0,6.0,2.0,9,7.0,1.0,6.0,1.0,11.0,4.0,22.0,79,5.0,120,3.0,22,16.0,42.0,2.0,35.0,10,,5.0,10.0,43,9.0,1.0,16.0,293,8.0,2.0,41,,6.0,15.0,167.0,2.0,3.0,20.0,10.0,,5.0,47.0,,1.0,8.0,126,5.0,9,0.0,2.0,1,,1.0,1.0,,4.0,4.0,,,,1.0,2.0,1.0,,68.0,2.0,1.0,3.0,1.0,8.0,,2.0,1.0,,,,4.0,,,1.0,,,,,,,,,
2,Yuto Nagatomo,0,700000,0,0,1.7,68,23.529,3,37,1,13.0,16.0,11.0,5.0,1.0,279,117.0,32,1.0,103.0,1.0,23.0,40.0,207,7.0,2.0,66.0,21.0,37.0,6,630,23.0,8.0,7.0,12,6.0,,13.0,,20.0,7.0,4.0,55,3.0,213,9.0,35,1.0,39.0,15.0,102.0,10,,6.0,4.0,56,19.0,2.0,3.0,462,5.0,6.0,110,13.0,18.0,28.0,272.0,,7.0,7.0,8.0,21.0,3.0,59.0,,1.0,1.0,220,,12,,,0,1.0,,,,6.0,1.0,,,,,1.0,,,98.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2,Mohamed Naser Elsayed Elneny,0,11000000,0,0,1.79,72,22.471,2,31,2,4.0,1.0,,,,60,25.0,2,,3.0,,20.0,2.0,53,,,,2.0,3.0,2,111,3.0,,,5,2.0,,1.0,,1.0,1.0,,5,1.0,55,,10,,2.0,,9.0,93,,1.0,1.0,6,1.0,,,64,,,32,1.0,2.0,1.0,58.0,,2.0,,,,,3.0,,1.0,,57,,5,,,0,,,,,4.0,,,1.0,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,
2,Olarenwaju Kayode,0,2000000,0,0,1.76,65,20.984,2,30,3,2.0,24.0,2.0,1.0,2.0,84,36.0,16,10.0,50.0,,25.0,17.0,61,,2.0,,14.0,38.0,10,422,27.0,5.0,,10,10.0,,5.0,2.0,10.0,4.0,2.0,43,6.0,57,3.0,19,6.0,24.0,3.0,17.0,10,,4.0,7.0,27,4.0,2.0,20.0,158,2.0,1.0,27,2.0,5.0,2.0,78.0,3.0,3.0,12.0,5.0,,5.0,21.0,,2.0,14.0,63,4.0,10,2.0,1.0,0,2.0,,,,6.0,2.0,,,3.0,1.0,,1.0,,15.0,,2.0,,1.0,,,,2.0,,,,,,,1.0,,,,,,,,,
2,Fernando Boldrin,0,300000,0,0,1.81,75,22.893,2,34,2,5.0,2.0,2.0,,,56,33.0,7,,13.0,,17.0,5.0,45,,,1.0,5.0,7.0,8,98,2.0,3.0,,3,2.0,,1.0,,,,,9,1.0,48,,3,,11.0,,12.0,10,,1.0,4.0,7,1.0,1.0,3.0,72,1.0,1.0,17,1.0,2.0,1.0,53.0,,,1.0,6.0,,,6.0,,,1.0,50,1.0,3,,,0,1.0,,,,2.0,1.0,2.0,,,,,1.0,,20.0,,,3.0,,3.0,,,,,1.0,,,,,,,,,,,,,,
2,Elbasan Rashani,0,2500000,0,0,1.81,71,21.672,1,30,2,8.0,106.0,17.0,21.0,16.0,618,303.0,99,12.0,274.0,1.0,154.0,111.0,490,6.0,2.0,14.0,82.0,188.0,28,2062,147.0,48.0,6.0,30,29.0,3.0,36.0,3.0,63.0,25.0,20.0,246,34.0,493,25.0,100,26.0,133.0,15.0,133.0,51,,25.0,27.0,194,9.0,19.0,86.0,1022,16.0,11.0,201,2.0,58.0,35.0,612.0,3.0,41.0,51.0,48.0,4.0,15.0,120.0,,15.0,26.0,498,14.0,30,1.0,2.0,1,3.0,,,,5.0,6.0,1.0,58.0,1.0,,2.0,1.0,26.0,137.0,,4.0,,2.0,1.0,,2.0,4.0,,,,,,1.0,1.0,,,,,,,,,
1,Denis Alibec,0,850000,0,0,1.87,77,22.02,1,32,3,22.0,191.0,17.0,2.0,27.0,855,473.0,160,45.0,585.0,4.0,168.0,257.0,554,13.0,,8.0,143.0,334.0,29,2546,239.0,15.0,5.0,31,29.0,3.0,22.0,12.0,72.0,12.0,66.0,399,49.0,508,16.0,101,60.0,273.0,3.0,259.0,10,,29.0,55.0,170,22.0,9.0,129.0,1499,74.0,10.0,116,3.0,65.0,33.0,784.0,14.0,48.0,130.0,27.0,1.0,21.0,279.0,2.0,31.0,79.0,576,34.0,31,10.0,4.0,2,8.0,1.0,1.0,,2.0,21.0,,,,2.0,8.0,7.0,,258.0,5.0,28.0,13.0,14.0,37.0,7.0,14.0,8.0,4.0,17.0,1.0,7.0,,3.0,6.0,1.0,,,,,,,,
2,Ozan Tufan,0,3500000,0,0,1.79,70,21.847,2,28,2,43.0,123.0,25.0,16.0,26.0,902,407.0,108,16.0,337.0,1.0,251.0,156.0,672,8.0,1.0,1.0,83.0,206.0,26,2428,149.0,13.0,3.0,42,34.0,2.0,42.0,8.0,40.0,26.0,20.0,257,46.0,680,21.0,130,24.0,180.0,9.0,209.0,27,,27.0,22.0,219,31.0,21.0,62.0,1286,27.0,16.0,316,4.0,51.0,37.0,866.0,8.0,26.0,65.0,30.0,,13.0,187.0,3.0,29.0,41.0,715,25.0,42,4.0,4.0,1,2.0,,,,15.0,13.0,8.0,66.0,8.0,,,3.0,27.0,223.0,,7.0,14.0,7.0,24.0,3.0,,2.0,3.0,4.0,,4.0,,,3.0,,,,,,,,,
