full_name,url,url_api
Guray Vural,https://www.mackolik.com/futbolcu/g%C3%BCray-vural/sezon/4hwp3dxmcs9qn1hfl6i5j5s5x,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=dffn22be69d945d62hmqc2qdw&ctst=9irsyv431fpuqhqtfq9iwxf2u&_lcl=tr&_fmt=jsonp&_clbk=W3db666e562d76123c3eb86f56821e19151004f40b
Erdem Ozgenc,https://www.mackolik.com/futbolcu/erdem-%C3%B6zgen%C3%A7/sezon/e63qzrqda02xzw8tkd3cj15g5,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=2y75xa2qc4nrx5k7tg8k75p90&ctst=9badgd05ykw5xo8tm6zci5aeu&_lcl=tr&_fmt=jsonp&_clbk=W3d50acd4e37968d78f922270ec2151881ef7b2580
Jese Rodriguez Ruiz,https://www.mackolik.com/futbolcu/jes%C3%A9/sezon/x1qsrbva1nlv7nvmk2an19ed,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=917vbkpe5rs8mnwskj4jz7ys&ctst=4plikfte18rv8v4l89z803d4y&_lcl=tr&_fmt=jsonp&_clbk=W37ff09f416707ee90a24b03052d77e6e1dc4cb0b4
Hector Canteros,https://www.mackolik.com/futbolcu/h-canteros/sezon/enj93bcu9dsde98myhladujth,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=atgqu8cwv5po03cxaf3sgi13o&ctst=d2ek7khu1tzo6yiz0q6waajcy&_lcl=tr&_fmt=jsonp&_clbk=W3784873da00c5b08684b5d92144aa8c99a42fc692
David Braz de Oliveira Filho,https://www.mackolik.com/futbolcu/david-braz/sezon/9dwqbckgv4t3judgz9yqjw6ol,https://api.performfeeds.com/soccerdata/squads/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=czjx4rda7swlzql5d1cq90r8&_pgSz=200&_lcl=tr&_fmt=jsonp&_clbk=W3d13c3d9dc82bbdd82d443a4b1a9906891687f13f
Cengiz Umut Meras,https://www.mackolik.com/futbolcu/c-umut-mera%C5%9F/sezon/3vlfegi0u5rws1eh9ri1uiz85,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=dffn22be69d945d62hmqc2qdw&ctst=2ez9cvam9lp9jyhng3eh3znb4&_lcl=tr&_fmt=jsonp&_clbk=W30353bf5902c3a83283ab8aba9d409abf82c1ad94
Mehmet Feyzi Yildirim,https://www.mackolik.com/futbolcu/feyzi-y%C4%B1ld%C4%B1r%C4%B1m/sezon/daa3tvbpstnh44jf1177g3g89,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=dffn22be69d945d62hmqc2qdw&ctst=4idg23egrrvtrbgrg7p5x7bwf&_lcl=tr&_fmt=jsonp&_clbk=W329ac7626bf67ce92493dc11354637701d33bb680
Vincent Aboubakar,https://www.mackolik.com/futbolcu/v-aboubakar/sezon/bwj0ic6ljwuzim9zsmosx4hxx,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=dffn22be69d945d62hmqc2qdw&ctst=2ez9cvam9lp9jyhng3eh3znb4&_lcl=tr&_fmt=jsonp&_clbk=W30353bf5902c3a83283ab8aba9d409abf82c1ad94
Peter Antonio Zulj,https://www.mackolik.com/futbolcu/p-%C5%BEulj/sezon/9899yrkv807i9hvnroutd4l3p,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=5xdet648qkzdrnnmnhxhh9nv8&ctst=a9s5fqudawk9d4x27u6vwqdmj&_lcl=tr&_fmt=jsonp&_clbk=W3d7377d8490e601b5fc9137f14f5063c40dda14b1
Alan Lima Carius,https://www.mackolik.com/futbolcu/alan-cari%C3%BAs/sezon/5nf9pj0wob43l19dn5d9z6tbd,https://api.performfeeds.com/soccerdata/seasonstats/5p1j175kr2yj1hl8i7s391cty/?_rt=c&tmcl=abo14219w3adrfkhv1uz8fq50&ctst=6bus1cl4b6zdm93290r02o7cx&_lcl=tr&_fmt=jsonp&_clbk=W307f170fd4e9203ae6d3d4a5999bba205474f8687
