full_name,priceA,height,body_mass_index,foot,age,position,Successfull Pass Rate,Total Successful Passes,Duels Rate,Duels,Total Losses Of Possession,Time Played,Appearances,Recoveries,Touches,Games Played,Winning Goal,Goals Conceded,Key Passes,Total Shots,Yellow Cards,label
Nathan Daniel Jerome Redmond,19000000,1.73,23.055,2,29,2,0.7545008183306056,461.0,0.4792899408284023,169.0,288,1580,25,98,971,25,3,15.0,33.0,34.0,5.0,2
Jorman David Campuzano Puentes,4000000,1.75,25.143,2,27,2,0.8464088397790055,766.0,0.5676691729323309,266.0,187,1890,24,150,1236,24,1,38.0,8.0,9.0,5.0,2
Stefano Okaka Chuka,3250000,1.86,23.702,2,34,3,0.8018018018018018,178.0,0.4840764331210191,157.0,128,1081,21,29,420,21,0,11.0,8.0,12.0,3.0,2
Rachid Ghezzal,9250000,1.82,21.133,1,31,2,0.7934782608695652,219.0,0.3773584905660377,53.0,114,493,11,28,402,11,1,5.0,15.0,7.0,1.0,2
Idrissa Doumbia,4000000,1.87,23.449,2,25,2,0.907035175879397,722.0,0.5,106.0,139,1283,23,75,971,23,1,27.0,9.0,10.0,8.0,2
Mauro Emanuel Icardi Rivero,16000000,1.81,22.893,2,30,3,0.7092651757188498,222.0,0.4228571428571429,175.0,141,1707,22,34,517,22,8,14.0,29.0,60.0,3.0,1
Hermenegildo da Costa Paulo Bartolomeu,500000,1.7,21.799,1,32,3,0.7065026362038664,402.0,0.50814332247557,307.0,421,1867,29,91,1105,29,1,40.0,34.0,27.0,5.0,2
Babajide David Akintola,450000,1.78,21.778,2,27,2,0.7976744186046512,343.0,0.4293193717277487,191.0,207,1484,27,68,746,27,3,17.0,28.0,27.0,3.0,1
Serdar Aziz,1750000,1.83,25.68,2,33,1,0.8266897746967071,477.0,0.6233766233766234,77.0,110,968,14,48,674,14,0,14.0,4.0,5.0,3.0,1
Ufuk Akyol,750000,1.8,23.148,2,26,2,0.833103448275862,604.0,0.4277108433734939,166.0,170,1599,25,123,931,25,0,29.0,7.0,7.0,1.0,1
Enis Bardhi,21000000,1.72,22.647,2,28,2,0.8424908424908425,460.0,0.4569536423841059,151.0,210,1113,27,86,837,27,0,17.0,20.0,24.0,2.0,2
Dries Mertens,8500000,1.69,21.358,2,36,3,0.7800252844500632,617.0,0.4405940594059406,202.0,360,1980,28,116,1241,28,1,19.0,45.0,52.0,7.0,2
Mahmoud Ahmed Ibrahim Hassan,7250000,1.8,21.914,3,29,2,0.8202247191011236,584.0,0.4227941176470588,272.0,315,1979,26,100,1232,26,2,26.0,29.0,62.0,6.0,1
Alfredo Kulembe Ribeiro,550000,1.7,23.529,2,33,2,0.7269303201506592,386.0,0.4930875576036866,217.0,231,1405,25,91,850,25,2,27.0,11.0,35.0,5.0,1
Mustafa Pektemek,200000,1.82,21.737,2,35,3,0.8041237113402062,78.0,0.4366197183098591,71.0,44,398,9,13,176,9,0,3.0,6.0,15.0,1.0,2
Joshua Christian Kojo King,9000000,1.8,22.84,2,31,3,0.8421052631578947,160.0,0.4358974358974359,117.0,107,806,14,32,367,14,2,10.0,11.0,26.0,1.0,1
Milot Rashica,9250000,1.77,23.301,2,27,2,0.7652671755725191,401.0,0.4285714285714285,203.0,314,1622,25,128,933,25,0,15.0,28.0,28.0,3.0,2
Dylan Saint-Louis,1250000,1.84,22.743,2,28,3,0.7903225806451613,49.0,0.3225806451612903,31.0,38,285,8,8,114,8,0,7.0,4.0,3.0,0.0,1
Necip Uysal,1250000,1.8,22.222,2,32,1,0.8877005347593583,332.0,0.527027027027027,74.0,51,749,20,33,480,20,0,9.0,1.0,3.0,2.0,2
Gustavo Campanharo,1250000,1.78,20.831,2,31,2,0.927536231884058,128.0,0.5806451612903226,31.0,18,219,4,19,198,4,0,5.0,1.0,3.0,2.0,1
Valentin Eysseric,1250000,1.81,22.283,2,31,2,0.7747163695299838,956.0,0.4893617021276595,329.0,475,2328,29,158,1735,29,1,34.0,43.0,32.0,9.0,2
Matteo Ricci,2750000,1.76,21.952,3,29,2,0.8444148936170213,635.0,0.4603174603174603,126.0,180,1232,16,77,950,16,0,25.0,9.0,9.0,4.0,2
Emre Mor,1250000,1.69,22.408,1,26,2,0.7838479809976246,330.0,0.5589519650655022,229.0,239,1099,26,77,795,26,0,18.0,19.0,25.0,4.0,1
Admir Mehmedi,4750000,1.83,23.291,2,32,3,0.7378640776699029,76.0,0.5416666666666666,48.0,45,271,10,15,169,10,0,5.0,4.0,2.0,1.0,2
Tunay Torun,400000,1.76,24.212,2,33,2,0.7142857142857143,20.0,0.5,10.0,17,47,9,5,51,9,0,5.0,1.0,1.0,0.0,2
Simon Augustin Falette,3750000,1.85,26.004,1,31,1,0.8883610451306413,374.0,0.6190476190476191,42.0,51,578,8,28,487,8,0,11.0,2.0,3.0,2.0,2
Zinedine Ferhat,6500000,1.83,22.993,2,30,2,0.7937956204379562,435.0,0.5076923076923077,130.0,219,1051,23,57,819,23,0,27.0,12.0,14.0,2.0,2
Efecan Karaca,1750000,1.69,20.307,2,34,2,0.8283261802575107,772.0,0.5243445692883895,267.0,331,2250,27,113,1370,27,1,47.0,28.0,16.0,4.0,2
Ziya Erdal,150000,1.73,24.391,1,35,1,0.8524590163934426,520.0,0.5955056179775281,89.0,144,1042,17,64,901,17,0,21.0,7.0,1.0,4.0,2
Henry Chukwuemeka Onyekuru,15000000,1.75,22.857,2,26,3,0.7324414715719063,219.0,0.3846153846153846,169.0,244,1957,28,63,639,28,1,26.0,24.0,43.0,5.0,2
Jesse Tamunobaraboye Sekidika,600000,1.74,22.46,2,27,3,0.7751196172248804,162.0,0.4642857142857143,84.0,108,799,13,40,364,13,0,16.0,11.0,11.0,1.0,1
Umut Dilan Bozok,5750000,1.78,22.093,3,27,3,0.7887323943661971,224.0,0.3870967741935484,124.0,108,871,24,40,424,24,2,13.0,17.0,21.0,3.0,2
Seyed Majid Hosseini,1250000,1.87,22.305,2,27,1,0.8762798634812287,1027.0,0.5878378378378378,148.0,161,1814,22,92,1390,22,0,31.0,8.0,6.0,6.0,1
Bernard Mensah,3000000,1.81,22.283,2,29,2,0.8788501026694046,856.0,0.465648854961832,262.0,253,1769,26,138,1361,26,2,41.0,15.0,30.0,6.0,2
Fatih Aksoy,2250000,1.89,22.116,2,26,1,0.835027365129007,1068.0,0.5578947368421052,190.0,251,1803,25,138,1571,25,0,38.0,2.0,6.0,3.0,1
Davide Biraschi,2250000,1.82,22.038,2,29,1,0.727683615819209,644.0,0.5467980295566502,203.0,388,2208,26,136,1460,26,0,54.0,5.0,9.0,4.0,2
Cenk Tosun,4750000,1.83,23.291,3,32,3,0.7233560090702947,319.0,0.4860557768924303,251.0,229,1768,30,59,763,30,2,18.0,18.0,62.0,3.0,2
Mahmut Tekdemir,850000,1.78,22.724,2,35,2,0.8389513108614233,896.0,0.5434782608695652,138.0,237,1836,24,137,1335,24,0,18.0,16.0,6.0,8.0,2
Andrea Bertolacci,1750000,1.79,23.408,1,32,2,0.7837259100642399,366.0,0.5340909090909091,88.0,142,945,19,63,608,19,0,17.0,15.0,9.0,4.0,1
Ebrima Colley,4250000,1.8,21.605,2,23,2,0.76905311778291,333.0,0.4452054794520548,146.0,234,1439,25,93,735,25,0,27.0,14.0,15.0,3.0,2
Sacha Boey,2000000,1.78,22.093,2,23,1,0.7931034482758621,920.0,0.5508474576271186,354.0,442,2534,29,179,2047,29,0,22.0,26.0,20.0,8.0,1
Samet Akaydin,200000,1.9,22.992,2,29,1,0.865210442194992,1624.0,0.6288659793814433,291.0,282,2752,31,193,2269,31,0,36.0,7.0,17.0,7.0,1
Stelios Kitsiou,650000,1.73,23.389,2,30,1,0.7843388960205392,611.0,0.532319391634981,263.0,358,2412,29,131,1562,29,0,31.0,16.0,21.0,10.0,1
Samed Onur,400000,1.75,21.878,1,21,2,0.8048780487804879,33.0,0.5714285714285714,14.0,12,66,6,7,65,6,0,4.0,2.0,2.0,1.0,1
Enner Remberto Valencia Lastra,3000000,1.77,23.62,2,34,3,0.7725563909774437,411.0,0.4666666666666667,375.0,343,2110,29,58,1075,29,5,28.0,19.0,72.0,3.0,2
Tarkan Serbest,700000,1.84,23.334,2,29,2,0.8666666666666667,312.0,0.4848484848484848,33.0,56,647,11,41,431,11,0,12.0,5.0,4.0,1.0,2
Mbaye Diagne,2500000,1.91,23.574,2,32,3,0.680089485458613,304.0,0.4583333333333333,240.0,232,2244,30,50,743,30,4,46.0,11.0,57.0,5.0,2
Ezgjan Alioski,4500000,1.73,21.05,1,31,1,0.847457627118644,400.0,0.5192307692307693,104.0,128,847,17,42,710,17,0,10.0,10.0,6.0,1.0,1
Muhammet Demir,1750000,1.8,22.84,2,31,3,0.7352941176470589,250.0,0.4705882352941176,238.0,199,1413,21,41,613,21,3,10.0,21.0,31.0,2.0,2
Lucas Rodrigo Biglia,1250000,1.78,20.199,2,37,2,0.8992322456813819,937.0,0.518324607329843,191.0,149,1520,23,130,1293,23,0,17.0,12.0,6.0,6.0,2
Tomislav Glumac,200000,1.94,22.85,1,32,1,0.8216989066442388,977.0,0.6229508196721312,244.0,223,2294,26,111,1532,26,0,38.0,3.0,16.0,7.0,1
Mame Biram Diouf,1500000,1.85,23.083,2,36,3,0.6275303643724697,155.0,0.5454545454545454,198.0,135,1429,25,24,430,25,2,26.0,11.0,44.0,0.0,2
Welinton Souza Silva,1250000,1.81,24.725,2,34,1,0.8006756756756757,474.0,0.5825242718446602,103.0,129,768,12,60,713,12,0,8.0,2.0,7.0,4.0,2
Gedson Carvalho Fernandes,21000000,1.83,21.201,2,24,2,0.8311195445920304,876.0,0.5745721271393643,409.0,334,2484,31,197,1618,31,1,25.0,21.0,16.0,6.0,2
Bright Osayi-Samuel,3250000,1.75,23.51,2,26,1,0.8503787878787878,449.0,0.5136986301369864,146.0,174,1150,22,96,883,22,0,19.0,10.0,5.0,6.0,1
Rayyan Baniya,150000,1.94,22.585,2,24,1,0.862760834670947,1075.0,0.6513157894736842,152.0,190,1979,22,112,1516,22,0,40.0,1.0,9.0,4.0,1
Konrad Hubert Michalak,750000,1.76,19.693,2,26,2,0.7942238267148014,220.0,0.4772727272727273,132.0,170,1415,23,42,527,23,0,17.0,10.0,10.0,2.0,1
Dimitrios Goutas,600000,1.89,22.676,3,29,1,0.7958883994126285,1084.0,0.6578947368421053,228.0,314,2594,30,154,1748,30,0,46.0,6.0,19.0,4.0,1
Rayane Aabid,1750000,1.78,22.409,1,31,2,0.8569553805774278,653.0,0.5227272727272727,88.0,175,1328,21,105,929,21,0,29.0,8.0,7.0,1.0,2
Artem Dzyuba,10000000,1.96,23.688,2,35,3,0.5297029702970297,107.0,0.4375,112.0,143,718,9,12,318,9,4,7.0,6.0,15.0,1.0,2
