full_name,priceA,height,body_mass_index,foot,age,position,Successfull Pass Rate,Total Successful Passes,Duels Rate,Duels,Total Losses Of Possession,Time Played,Appearances,Recoveries,Touches,Games Played,Winning Goal,Goals Conceded,Key Passes,Total Shots,Yellow Cards,label
Dogan Erdogan,900000,1.82,23.85,2,27,2,0.7588652482269503,535.0,0.5686274509803921,153.0,244,1606,26,116,976,26,0,30.0,11.0,1.0,2.0,1
Marko Mihojevic,300000,1.88,21.503,2,27,1,0.8238993710691824,262.0,0.5568181818181818,88.0,78,765,12,36,446,12,1,9.0,1.0,4.0,1.0,2
Oguz Yilmaz,250000,1.85,23.959,2,30,1,0.7151370679380215,600.0,0.6589595375722543,173.0,258,2147,24,107,1126,24,0,43.0,6.0,21.0,3.0,2
Jefferson Nogueira Junior,700000,1.81,24.419,2,29,2,0.859504132231405,208.0,0.5333333333333333,60.0,59,431,6,29,329,6,0,5.0,2.0,6.0,2.0,2
Taylan Antalyali,3000000,1.8,23.148,1,28,2,0.7686746987951807,638.0,0.4606741573033708,178.0,278,1982,29,126,1124,29,2,29.0,17.0,16.0,3.0,2
Luan Peres Petroni,6000000,1.9,20.499,1,29,1,0.856353591160221,310.0,0.6949152542372882,59.0,76,634,9,37,497,9,1,9.0,1.0,3.0,1.0,2
Kerim Frei,250000,1.71,23.939,2,30,2,0.865546218487395,103.0,0.3636363636363636,44.0,43,297,15,24,187,15,0,7.0,4.0,3.0,0.0,1
Emre Demir,1800000,1.75,21.878,1,19,2,1.0,10.0,0.3333333333333333,3.0,1,18,2,1,16,2,0,4.0,5.0,2.0,0.0,2
Mustafa Yumlu,75000,1.91,21.107,2,36,1,0.7773144286905754,932.0,0.6539923954372624,263.0,286,2625,30,141,1594,30,1,39.0,6.0,21.0,8.0,2
Bel-Durel Daniel Avounou,300000,1.79,22.159,1,26,2,0.7685185185185185,415.0,0.4482758620689655,174.0,264,1751,27,107,889,27,1,37.0,13.0,29.0,1.0,1
Ahmed Mortadha Ben Ouanes,1400000,1.82,23.548,1,29,2,0.7536585365853659,618.0,0.509090909090909,220.0,381,2116,26,121,1385,26,0,29.0,28.0,20.0,7.0,1
Brandley Mack-Olien Kuwas,700000,1.82,25.057,1,31,3,0.7927170868347339,283.0,0.4065934065934066,182.0,229,1242,26,55,668,26,0,28.0,20.0,15.0,2.0,2
Fredrik Gulbrandsen,2200000,1.75,25.796,2,31,3,0.7758620689655172,90.0,0.3670886075949367,79.0,67,460,21,26,222,21,0,9.0,8.0,12.0,3.0,2
Victor Moses,3000000,1.77,25.216,2,33,2,0.8055555555555556,87.0,0.475,40.0,49,278,8,8,178,8,0,3.0,3.0,3.0,1.0,2
Andreas Evald Cornelius,7000000,1.93,24.43,1,30,3,0.6351351351351351,94.0,0.4814814814814814,81.0,100,468,9,16,248,9,0,8.0,3.0,7.0,1.0,2
Efthymios Koulouris,1200000,1.86,23.702,2,27,3,0.7678571428571429,86.0,0.4035087719298245,57.0,47,422,8,15,181,8,0,10.0,1.0,6.0,1.0,2
Davidson da Luz Pereira,3200000,1.77,23.939,2,32,3,0.7669902912621359,158.0,0.4214876033057851,121.0,114,575,7,29,370,7,1,6.0,9.0,9.0,0.0,2
Ilhan Parlak,100000,1.81,21.977,2,36,3,0.6372549019607843,65.0,0.4883720930232558,86.0,62,451,20,16,180,20,0,6.0,3.0,11.0,2.0,2
Michael Frey,4500000,1.89,24.075,2,29,3,0.5754716981132075,122.0,0.3659793814432989,194.0,159,874,15,26,375,15,0,19.0,7.0,19.0,2.0,2
Merih Demiral,30000000,1.92,23.329,2,25,1,0.8582434514637904,557.0,0.6506024096385542,166.0,106,1523,28,123,867,28,0,23.0,4.0,5.0,5.0,2
